pair_id,prompt_id,lambda_cka,effective_lambda_cka,rho,objective,source_weight,alpha,beta,target_cka_mode,target_alignment_temperature,reference_count,status,proxy_hits,proxy_denominator,proxy_hit_mask,proxy_gate_type,proxy_free_check_applicable,free_generation_hits,target_hits,target_denominator,target_hit_mask,target_hits_among_proxy_hits,proxy_hit_target_denominator,tasr_percent,untargeted_hits,asr_percent,proxy_min_margin,proxy_min_probability,cka_adv_source,cka_adv_reference,reference_cka_gain,source_cka_drop,source_repulsion_achieved,target_attraction_achieved,grad_ml_l1,grad_cka_weighted_l1,grad_component_cosine,elapsed_seconds,error
P20,original,1.0,5.473171234130859,0.3,original_cka_a4,1.0,4.0,0.0,spatial_index_legacy,0.07,8,complete,0,8,"[False, False, False, False, False, False, False, False]",generative_strict,True,6,,,,,,,,,-2.75,0.044633377343416214,0.36583036184310913,0.3093290328979492,0.04900407791137695,0.6341696381568909,True,True,0.012480296194553375,0.003744088811799884,-0.2944854497909546,163.08159121702192,
P20,original,1.0,18.263179779052734,1.0,original_cka_a4,1.0,4.0,0.0,spatial_index_legacy,0.07,8,complete,0,8,"[False, False, False, False, False, False, False, False]",generative_strict,True,5,,,,,,,,,-3.375,0.02913849800825119,0.3590005040168762,0.367606520652771,0.10728156566619873,0.6409994959831238,True,True,0.012493481859564781,0.012493482790887356,-0.2953449785709381,164.59465479996288,
P20,original,1.0,0.17923873662948608,0.03,original_cka_a8,1.0,8.0,0.0,spatial_index_legacy,0.07,8,complete,1,8,"[False, False, False, False, False, False, False, True]",generative_strict,True,6,,,,,,,,,-0.9471402168273926,0.07508564740419388,0.4498850107192993,0.25967082381248474,-0.0006541311740875244,0.5501149892807007,True,False,0.012521089054644108,0.00037563263322226703,-0.19025008380413055,164.12537843402242,
P20,original,1.0,0.5999644994735718,0.1,original_cka_a8,1.0,8.0,0.0,spatial_index_legacy,0.07,8,complete,0,8,"[False, False, False, False, False, False, False, False]",generative_strict,True,6,,,,,,,,,-1.75,0.10056718438863754,0.4647204279899597,0.27472516894340515,0.014400213956832886,0.5352795720100403,True,True,0.012573523446917534,0.0012573524145409465,-0.18876057863235474,162.95217654603766,
P20,original,1.0,1.786842703819275,0.3,original_cka_a8,1.0,8.0,0.0,spatial_index_legacy,0.07,8,complete,0,8,"[False, False, False, False, False, False, False, False]",generative_strict,True,6,,,,,,,,,-0.8365054130554199,0.08295191079378128,0.4160129427909851,0.3089255392551422,0.048600584268569946,0.5839870572090149,True,True,0.01248235534876585,0.003744706744328141,-0.18782654404640198,162.87739842996234,
P20,original,1.0,5.9836626052856445,1.0,original_cka_a8,1.0,8.0,0.0,spatial_index_legacy,0.07,8,complete,0,8,"[False, False, False, False, False, False, False, False]",generative_strict,True,5,,,,,,,,,-2.5,0.04359545186161995,0.4194687008857727,0.3617043197154999,0.10137936472892761,0.5805312991142273,True,True,0.012540030293166637,0.012540030293166637,-0.18875952064990997,164.26693618000718,
P21,original,1.0,13.634149551391602,0.03,original_cka_a0.5,1.0,0.5,0.0,spatial_index_legacy,0.07,8,complete,5,8,"[False, True, False, True, False, True, True, True]",generative_strict,True,5,,,,,,,,,-2.75,0.018454616889357567,0.46187782287597656,0.2547186017036438,-0.049000680446624756,0.5381221771240234,True,False,0.028024211525917053,0.0008407261921092868,0.1269572675228119,96.6305401980062,
P21,original,1.0,45.354610443115234,0.1,original_cka_a0.5,1.0,0.5,0.0,spatial_index_legacy,0.07,8,complete,4,8,"[False, False, False, True, False, True, True, True]",generative_strict,True,4,,,,,,,,,-3.625000238418579,0.008474295027554035,0.4168742895126343,0.24981382489204407,-0.05390545725822449,0.5831257104873657,True,False,0.027972038835287094,0.0027972040697932243,0.12389291822910309,90.85280324099585,
P21,original,1.0,135.9562530517578,0.3,original_cka_a0.5,1.0,0.5,0.0,spatial_index_legacy,0.07,8,complete,4,8,"[False, False, False, True, False, True, True, True]",generative_strict,True,5,,,,,,,,,-3.25,0.010972036980092525,0.32226550579071045,0.23103919625282288,-0.07268008589744568,0.6777344942092896,True,False,0.027945414185523987,0.008383624255657196,0.1253420114517212,90.82253100501839,
P21,original,1.0,453.6607360839844,1.0,original_cka_a0.5,1.0,0.5,0.0,spatial_index_legacy,0.07,8,complete,3,8,"[False, False, False, True, False, True, False, True]",generative_strict,True,6,,,,,,,,,-3.0,0.015380509197711945,0.24641306698322296,0.21019840240478516,-0.0935208797454834,0.7535869479179382,True,False,0.027980158105492592,0.027980158105492592,0.12638740241527557,90.8232454659883,
P21,original,1.0,13.107320785522461,0.03,original_cka_a1,1.0,1.0,0.0,spatial_index_legacy,0.07,8,complete,4,8,"[False, False, False, True, False, True, True, True]",generative_strict,True,5,,,,,,,,,-2.750000238418579,0.013867881149053574,0.4888191819190979,0.28882724046707153,-0.014892041683197021,0.5111808180809021,True,False,0.028013650327920914,0.0008404094842262566,0.12263312190771103,90.9431774270488,
P21,original,1.0,43.65160369873047,0.1,original_cka_a1,1.0,1.0,0.0,spatial_index_legacy,0.07,8,complete,5,8,"[False, False, False, True, True, True, True, True]",generative_strict,True,5,,,,,,,,,-2.738515853881836,0.01155904121696949,0.44188445806503296,0.2971804738044739,-0.006538808345794678,0.558115541934967,True,False,0.027988102287054062,0.002798810601234436,0.12213840335607529,90.87271689699264,
P21,original,1.0,130.89071655273438,0.3,original_cka_a1,1.0,1.0,0.0,spatial_index_legacy,0.07,8,complete,4,8,"[False, False, False, True, False, True, True, True]",generative_strict,True,5,,,,,,,,,-3.5,0.007988709025084972,0.37365037202835083,0.3027241826057434,-0.0009950995445251465,0.6263496279716492,True,False,0.027973242104053497,0.008391971699893475,0.12034858018159866,90.8564961089869,
P21,original,1.0,437.1945495605469,1.0,original_cka_a1,1.0,1.0,0.0,spatial_index_legacy,0.07,8,complete,4,8,"[False, False, False, True, True, True, False, True]",generative_strict,True,6,,,,,,,,,-4.625,0.0033335010521113873,0.30217546224594116,0.3178286552429199,0.014109373092651367,0.6978245377540588,True,True,0.028029927983880043,0.028029927983880043,0.12144820392131805,90.95033930696081,
