pair_id,proxy_layer,target_layer,subset,image_count,true_cka,null_mean,null_std,z_score,empirical_p_value,null_exceedance_count,permutations_evaluated,exact_null
P11,vision_final,projected,class_8,5,0.9562186598777771,0.7866957913927671,0.08884142078343467,1.908151254112081,0.058333333333333334,6,119,1
P11,vision_final,projected,classes_7_8,10,0.9104583263397217,0.6127681775987148,0.056932426945561346,5.228832929002965,0.000999000999000999,0,1000,0
P11,projected,vision_mid,global,50,0.3379204571247101,0.24297046162188052,0.020271102190643014,4.6840075398888645,0.000999000999000999,0,1000,0
P11,projected,vision_mid,class_7,5,0.6507099270820618,0.7147352755570612,0.08155439920465211,-0.7850630879437244,0.7583333333333333,90,119,1
P11,projected,vision_mid,class_8,5,0.85546875,0.6737176260026563,0.10396819512599811,1.7481415713438246,0.16666666666666666,19,119,1
P11,projected,vision_mid,classes_7_8,10,0.6245537400245667,0.5030381719172001,0.06843882161213646,1.7755356571746963,0.04895104895104895,48,1000,0
P11,projected,vision_final,global,50,0.7241984009742737,0.43987791702151297,0.016391601681372162,17.345497376005046,0.000999000999000999,0,1000,0
P11,projected,vision_final,class_7,5,0.8759257793426514,0.8345882832503119,0.05340488375611331,0.7740396230636407,0.23333333333333334,27,119,1
P11,projected,vision_final,class_8,5,0.9464536309242249,0.8117484014575221,0.0741285934364373,1.8171831303153996,0.06666666666666667,7,119,1
P11,projected,vision_final,classes_7_8,10,0.8893226385116577,0.6611298847794532,0.05062484964777506,4.507524571823265,0.000999000999000999,0,1000,0
P11,projected,projected,global,50,0.7164037227630615,0.42403804475069046,0.017044263791275664,17.153318065989005,0.000999000999000999,0,1000,0
P11,projected,projected,class_7,5,0.8916772603988647,0.8358465012382058,0.05088248446060927,1.0972490779981543,0.15833333333333333,18,119,1
P11,projected,projected,class_8,5,0.9476976990699768,0.8113500831507835,0.0734566684574411,1.8561638961095765,0.13333333333333333,15,119,1
P11,projected,projected,classes_7_8,10,0.9015998840332031,0.6571114741563797,0.05131084553194797,4.764848587899339,0.000999000999000999,0,1000,0
P14,vision_mid,vision_mid,global,50,0.9914357662200928,0.07412642361968756,0.026980416296894093,33.99908038876343,0.000999000999000999,0,1000,0
P14,vision_mid,vision_mid,class_7,5,0.9889553785324097,0.569244200942897,0.14054352070571904,2.9863431304552033,0.008333333333333333,0,119,1
P14,vision_mid,vision_mid,class_8,5,0.997844398021698,0.4611687146815933,0.19618996992266824,2.735489910884053,0.008333333333333333,0,119,1
P14,vision_mid,vision_mid,classes_7_8,10,0.9958188533782959,0.2939253159612417,0.11342559356126534,6.188140748304179,0.000999000999000999,0,1000,0
P14,vision_mid,vision_final,global,50,0.3377741277217865,0.1606850584745407,0.021186070563094024,8.358750091002417,0.000999000999000999,0,1000,0
P14,vision_mid,vision_final,class_7,5,0.5958656668663025,0.6256401421142226,0.10470702537850855,-0.28435986162616556,0.525,62,119,1
P14,vision_mid,vision_final,class_8,5,0.8803888559341431,0.6049393936365592,0.1231043244085672,2.2375287271258073,0.016666666666666666,1,119,1
P14,vision_mid,vision_final,classes_7_8,10,0.6200012564659119,0.399536498606205,0.07851579683029775,2.80790320877994,0.014985014985014986,14,1000,0
P14,vision_mid,projected,global,50,0.2520180940628052,0.15850180593132973,0.021286750324750216,4.393168835298621,0.001998001998001998,1,1000,0
P14,vision_mid,projected,class_7,5,0.5450277328491211,0.6022000678447115,0.1135589017569471,-0.5034597386117534,0.625,74,119,1
P14,vision_mid,projected,class_8,5,0.840189516544342,0.6099684373671267,0.1213575419649417,1.8970479745191497,0.1,11,119,1
P14,vision_mid,projected,classes_7_8,10,0.5523723363876343,0.3920274344682694,0.08091544655260877,1.9816352594076523,0.04895104895104895,48,1000,0
P14,vision_final,vision_mid,global,50,0.4214022755622864,0.18340742515027522,0.021563425727937333,11.036968495393925,0.000999000999000999,0,1000,0
P14,vision_final,vision_mid,class_7,5,0.7388417720794678,0.6939723005815714,0.08744637723102702,0.5131084090465454,0.2833333333333333,33,119,1
P14,vision_final,vision_mid,class_8,5,0.9428297281265259,0.5401235801332137,0.18876515302585214,2.133371236894343,0.008333333333333333,0,119,1
P14,vision_final,vision_mid,classes_7_8,10,0.6839085817337036,0.41171359157562254,0.08402251370967401,3.2395482846253105,0.001998001998001998,1,1000,0
P14,vision_final,vision_final,global,50,0.9320879578590393,0.39707434457540514,0.01752390621282436,30.530499694873967,0.000999000999000999,0,1000,0
P14,vision_final,vision_final,class_7,5,0.9870116710662842,0.756252123528168,0.10217580654794557,2.25845584521844,0.008333333333333333,0,119,1
P14,vision_final,vision_final,class_8,5,0.9506428837776184,0.7067098878010982,0.12318363061281311,1.980238727848854,0.016666666666666666,1,119,1
P14,vision_final,vision_final,classes_7_8,10,0.9509388208389282,0.5719307681918144,0.06190130397688531,6.122779784875614,0.000999000999000999,0,1000,0
P14,vision_final,projected,global,50,0.9115571975708008,0.3912972779870033,0.017751821692811583,29.307410168189744,0.000999000999000999,0,1000,0
P14,vision_final,projected,class_7,5,0.9773133993148804,0.7273988508376754,0.11457539783996763,2.181223484174773,0.016666666666666666,1,119,1
P14,vision_final,projected,class_8,5,0.9538299441337585,0.7121585527387988,0.12206132459443962,1.9799178175227572,0.016666666666666666,1,119,1
P14,vision_final,projected,classes_7_8,10,0.9494965076446533,0.561450464874506,0.06285583264268875,6.173588455601884,0.000999000999000999,0,1000,0
P14,projected,vision_mid,global,50,0.26018598675727844,0.17783589974045755,0.021776080363283018,3.7816763000045057,0.001998001998001998,1,1000,0
P14,projected,vision_mid,class_7,5,0.6073763966560364,0.616307040723432,0.11089523882358025,-0.08053225875281367,0.43333333333333335,51,119,1
P14,projected,vision_mid,class_8,5,0.8226920366287231,0.6316096008825702,0.12330643547894511,1.5496550119541872,0.08333333333333333,9,119,1
P14,projected,vision_mid,classes_7_8,10,0.5272392630577087,0.4165489836931229,0.08680056170481674,1.2752253809256562,0.11888111888111888,118,1000,0
P14,projected,vision_final,global,50,0.9064922332763672,0.38526775419712067,0.017673636310746595,29.491637709117725,0.000999000999000999,0,1000,0
P14,projected,vision_final,class_7,5,0.9686617255210876,0.6703952310465965,0.145723107737707,2.04680300266004,0.008333333333333333,0,119,1
P14,projected,vision_final,class_8,5,0.9444329142570496,0.8247509668855106,0.07946489684827918,1.5060983165943749,0.06666666666666667,7,119,1
P14,projected,vision_final,classes_7_8,10,0.9541172981262207,0.58204367557168,0.06398128139413671,5.815351215967328,0.000999000999000999,0,1000,0
P14,projected,projected,global,50,0.9478523135185242,0.37960817128419877,0.018092786953253445,31.407220109456038,0.000999000999000999,0,1000,0
P14,projected,projected,class_7,5,0.9899157881736755,0.6445370551918735,0.1635873645681617,2.111280011714435,0.008333333333333333,0,119,1
P14,projected,projected,class_8,5,0.9796251654624939,0.8308345780653112,0.07812350143040175,1.9045560512893347,0.008333333333333333,0,119,1
P14,projected,projected,classes_7_8,10,0.982789933681488,0.571255011677742,0.06461290850539193,6.369236914468934,0.000999000999000999,0,1000,0
P16,vision_mid,vision_mid,global,50,0.9783196449279785,0.3412251204252243,0.020133555774390362,31.64341816427333,0.000999000999000999,0,1000,0
P16,vision_mid,vision_mid,class_7,5,0.9984724521636963,0.9053911737033299,0.03300792162841881,2.819967870386188,0.008333333333333333,0,119,1
P16,vision_mid,vision_mid,class_8,5,0.995162308216095,0.8151057182239885,0.07114900248724931,2.5306973210815515,0.008333333333333333,0,119,1
P16,vision_mid,vision_mid,classes_7_8,10,0.9934563040733337,0.7049461299777031,0.0447960674310727,6.4405245960386726,0.000999000999000999,0,1000,0
P16,vision_mid,vision_final,global,50,0.6932432651519775,0.35221483260393144,0.019792121770987475,17.23051406484103,0.000999000999000999,0,1000,0
P16,vision_mid,vision_final,class_7,5,0.944297194480896,0.8539042212382084,0.053461571571824795,1.6908027688869194,0.05,5,119,1
P16,vision_mid,vision_final,class_8,5,0.9670386910438538,0.8132982654731815,0.0819711313102577,1.8755435372578966,0.025,2,119,1
P16,vision_mid,vision_final,classes_7_8,10,0.8613147735595703,0.6293914897441863,0.052669082451416646,4.403404673497324,0.000999000999000999,0,1000,0
P16,vision_mid,projected,global,50,0.7114740610122681,0.3390860921442509,0.020454641523703142,18.205548527286016,0.000999000999000999,0,1000,0
P16,vision_mid,projected,class_7,5,0.9244256615638733,0.8057712336548236,0.0654930637094273,1.8117098390065107,0.025,2,119,1
P16,vision_mid,projected,class_8,5,0.9644759893417358,0.7719812558478668,0.09618119896225177,2.0013758985206396,0.008333333333333333,0,119,1
P16,vision_mid,projected,classes_7_8,10,0.8661162853240967,0.6191152567863465,0.05461643070630215,4.522467421314826,0.000999000999000999,0,1000,0
P16,vision_final,vision_mid,global,50,0.6558211445808411,0.35590281704068183,0.018663018761115906,16.07019375477638,0.000999000999000999,0,1000,0
P16,vision_final,vision_mid,class_7,5,0.9505072236061096,0.8525826565357817,0.05174317708697175,1.8925116814093745,0.025,2,119,1
P16,vision_final,vision_mid,class_8,5,0.9522665143013,0.7766109179047977,0.0898946057626485,1.9540170948665283,0.025,2,119,1
P16,vision_final,vision_mid,classes_7_8,10,0.8552194237709045,0.6232640041708947,0.05367085806129567,4.321813139918528,0.000999000999000999,0,1000,0
P16,vision_final,vision_final,global,50,0.921113133430481,0.36756631088256836,0.01859190243054583,29.773543864906205,0.000999000999000999,0,1000,0
P16,vision_final,vision_final,class_7,5,0.9840223789215088,0.8033835877891348,0.08639497750618226,2.0908482917244564,0.041666666666666664,4,119,1
P16,vision_final,vision_final,class_8,5,0.9912784099578857,0.774335668367498,0.10423194786548848,2.081345940789217,0.016666666666666666,1,119,1
