pair_id,prompt_id,objective,lambda_cka,source_cka_weight,target_cka_weight_alpha,semantic_target_weight,seed,steps,batch_size,reference_bank_size,epsilon_linf,step_size,momentum,proxy_hits,proxy_denominator,free_generation_hits,target_hits,target_denominator,tasr_percent,untargeted_hits,asr_percent,proxy_min_margin,proxy_min_probability,cka_adv_source,cka_adv_reference,reference_cka_gain,source_cka_drop,grad_ml_l1,grad_cka_weighted_l1,grad_component_cosine,elapsed_seconds,status
P14,compact,token_contrastive_cka,0.5,1.0,2.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,0,8,0.0,4,50.0,3.940419912338257,0.9518178701400757,0.15123064815998077,0.15625926852226257,-0.021027982234954834,0.8487693667411804,0.02163509652018547,0.00033970491494983435,-0.0772528424859047,384.58355072500126,complete
P14,original,token_contrastive_cka,0.5,1.0,1.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,0,8,0.0,6,75.0,3.918611764907837,0.9599687457084656,0.08326530456542969,0.10997577011585236,-0.06731148064136505,0.9167346954345703,0.036717794835567474,0.0003373475337866694,0.11379554867744446,414.813714007003,complete
P14,original,token_contrastive_cka,0.5,1.0,2.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,0,8,0.0,5,62.5,4.0,0.9502013325691223,0.1425536870956421,0.1485716551542282,-0.028715595602989197,0.8574463129043579,0.03654506430029869,0.00033970491494983435,0.09033787995576859,460.7785343419964,complete
P14,original,token_contrastive_cka,0.5,1.0,4.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,1,8,12.5,8,100.0,4.245168685913086,0.9505589008331299,0.24236789345741272,0.20675718784332275,0.029469937086105347,0.7576321363449097,0.036612290889024734,0.0003671740705613047,0.05760517343878746,441.3743092920049,complete
P14,original,token_contrastive_cka,1.5,1.0,1.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,1,8,12.5,6,75.0,4.125,0.9521050453186035,0.04927149415016174,0.11263175308704376,-0.06465549767017365,0.9507285356521606,0.036668043583631516,0.0010120426304638386,0.1122758612036705,479.52219146100106,complete
P14,original,token_contrastive_cka,1.5,1.0,2.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,0,8,0.0,8,100.0,4.119531631469727,0.9534685611724854,0.13097445666790009,0.1726454794406891,-0.00464177131652832,0.8690255284309387,0.03677264228463173,0.001019114744849503,0.09356269240379333,369.1283196879958,complete
P14,original,token_contrastive_cka,1.5,1.0,4.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,0,8,0.0,4,50.0,3.784193277359009,0.9578999876976013,0.27536606788635254,0.24353480339050293,0.06624755263328552,0.7246339321136475,0.036888062953948975,0.0011015222407877445,0.06162174046039581,503.73716598699684,complete
P14,original,token_contrastive_cka,3.0,1.0,1.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,0,8,0.0,6,75.0,4.2652435302734375,0.9625113606452942,0.05112195387482643,0.12546810507774353,-0.05181914567947388,0.9488780498504639,0.036701712757349014,0.002024085260927677,0.11366136372089386,477.56432002301153,complete
P14,original,token_contrastive_cka,3.0,1.0,2.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,1,8,12.5,7,87.5,3.821852207183838,0.951017439365387,0.107980877161026,0.19067545235157013,0.013388201594352722,0.8920191526412964,0.03677760437130928,0.002038229489699006,0.09360824525356293,568.8701227999991,complete
P14,original,token_contrastive_cka,3.0,1.0,4.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,1,8,12.5,8,100.0,3.975914478302002,0.9544627666473389,0.3270951211452484,0.27359962463378906,0.09631237387657166,0.6729048490524292,0.03673447668552399,0.002203044481575489,0.06125286594033241,510.0368836730049,complete
P14,original,token_contrastive_cka,6.0,1.0,1.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,1,8,12.5,6,75.0,4.172126293182373,0.9639683961868286,0.039797551929950714,0.11734506487846375,-0.05994218587875366,0.9602024555206299,0.03678442910313606,0.004048170521855354,0.1141422688961029,484.45643010099593,complete
P14,original,token_contrastive_cka,6.0,1.0,2.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,1,8,12.5,8,100.0,4.121315002441406,0.9588823914527893,0.11934822797775269,0.2083890736103058,0.03110182285308838,0.8806517720222473,0.036612965166568756,0.004076458979398012,0.09012144804000854,485.37553785899945,complete
