pair_id,transition_id,source_human_label,target_human_label,arm,semantic_mode,steps,step_size,rho,semantic_temperature,target_logit_weight,source_logit_weight,proxy_hits,proxy_denominator,tasr_hits,tasr_denominator,tasr_percent,asr_hits,asr_percent,semantic_gap_clean,semantic_gap_adversarial,semantic_gap_gain,effective_lambda,elapsed_seconds
P16,T09,9,2,p16_ext_tau020_push025,prototype,50,0.00392156862745098,1.0,0.2,1.0,0.25,8,8,3,8,37.5,3,37.5,-0.17720775306224823,0.328327476978302,0.5055352449417114,579.5000610351562,116.07453064003494
P16,T09,9,2,p16_reserve_baseline,prototype,50,0.00392156862745098,1.0,0.1,1.0,1.0,8,8,3,8,37.5,4,50.0,-0.17720775306224823,0.5390090346336365,0.7162168025970459,35.390525817871094,116.00683626200771
P16,T09,9,2,p16_reserve_push025,prototype,50,0.00392156862745098,1.0,0.1,1.0,0.25,8,8,3,8,37.5,4,50.0,-0.17720775306224823,0.32854482531547546,0.5057525634765625,2210.809814453125,115.82006314501632
P16,T09,9,2,p16_reserve_push050,prototype,50,0.00392156862745098,1.0,0.1,1.0,0.5,8,8,3,8,37.5,4,50.0,-0.17720775306224823,0.4349517226219177,0.6121594905853271,343.7897644042969,116.20482455100864
P16,T09,9,2,p16_reserve_rho075_push050,prototype,50,0.00392156862745098,0.75,0.1,1.0,0.5,8,8,4,8,50.0,4,50.0,-0.17720775306224823,0.43204087018966675,0.6092486381530762,257.5899963378906,115.94795417698333
P16,T09,9,2,p16_reserve_rho125_push050,prototype,50,0.00392156862745098,1.25,0.1,1.0,0.5,8,8,3,8,37.5,3,37.5,-0.17720775306224823,0.4281477928161621,0.6053555607795715,430.2265625,116.02744164899923
P16,T10,10,3,multi_ext_rho025,multiclass_prototype,50,0.00392156862745098,0.25,0.1,1.0,1.0,8,8,0,8,0.0,1,12.5,-0.209605410695076,0.40561428666114807,0.6152197122573853,15.23169231414795,123.95707317598863
P16,T10,10,3,multi_ext_rho050,multiclass_prototype,50,0.00392156862745098,0.5,0.1,1.0,1.0,8,8,1,8,12.5,1,12.5,-0.209605410695076,0.41326427459716797,0.6228696703910828,30.361604690551758,124.18297642003745
P16,T10,10,3,multi_ext_rho100,multiclass_prototype,50,0.00392156862745098,1.0,0.1,1.0,1.0,8,8,1,8,12.5,1,12.5,-0.209605410695076,0.41497349739074707,0.6245788931846619,60.81252670288086,124.28039930399973
P16,T10,10,3,multi_ext_tau020_rho050,multiclass_prototype,50,0.00392156862745098,0.5,0.2,1.0,1.0,8,8,0,8,0.0,0,0.0,-0.209605410695076,0.4067942500114441,0.6163996458053589,62.57905197143555,124.45477750798455
P16,T10,10,3,p16_diag_best_small_steps,prototype,100,0.00196078431372549,1.0,0.1,1.0,0.25,8,8,0,8,0.0,1,12.5,-0.20960545539855957,0.3478930592536926,0.5574985146522522,3584.76513671875,270.9998685779865
P16,T10,10,3,p16_diag_best_standard,prototype,50,0.00392156862745098,1.0,0.1,1.0,0.25,7,8,0,8,0.0,1,12.5,-0.20960545539855957,0.3219117224216461,0.5315171480178833,3572.760009765625,151.40524334600195
P16,T10,10,3,p16_diag_lower_aux,prototype,50,0.00392156862745098,0.5,0.1,1.0,0.25,6,8,0,8,0.0,1,12.5,-0.20960545539855957,0.2966669797897339,0.5062724351882935,1789.7633056640625,149.58128412399674
P16,T10,10,3,p16_ext_push010,prototype,50,0.00392156862745098,1.0,0.1,1.0,0.1,6,8,0,8,0.0,1,12.5,-0.20960545539855957,0.2504578232765198,0.46006327867507935,11920.4072265625,116.63473220099695
P16,T10,10,3,p16_ext_push020,prototype,50,0.00392156862745098,1.0,0.1,1.0,0.2,8,8,0,8,0.0,1,12.5,-0.20960545539855957,0.3164645731449127,0.5260699987411499,5349.30419921875,116.07708135299617
P16,T10,10,3,p16_ext_push035,prototype,50,0.00392156862745098,1.0,0.1,1.0,0.35,8,8,0,8,0.0,1,12.5,-0.20960545539855957,0.3760978579521179,0.5857033133506775,1612.4625244140625,115.92367020598613
P16,T10,10,3,p16_ext_rho075_push025,prototype,50,0.00392156862745098,0.75,0.1,1.0,0.25,8,8,1,8,12.5,1,12.5,-0.20960545539855957,0.33624106645584106,0.5458465218544006,2678.488525390625,116.0603328429861
P16,T10,10,3,p16_ext_rho125_push025,prototype,50,0.00392156862745098,1.25,0.1,1.0,0.25,7,8,0,8,0.0,1,12.5,-0.20960545539855957,0.31112220883369446,0.5207276344299316,4496.01953125,116.42727672000183
P16,T10,10,3,p16_ext_tau005_push025,prototype,50,0.00392156862745098,1.0,0.05,1.0,0.25,7,8,1,8,12.5,1,12.5,-0.20960545539855957,0.26453495025634766,0.4741404056549072,146450.625,116.14682976796757
P16,T10,10,3,p16_ext_tau020_push025,prototype,50,0.00392156862745098,1.0,0.2,1.0,0.25,8,8,0,8,0.0,1,12.5,-0.20960545539855957,0.34219783544540405,0.5518032908439636,845.173583984375,115.99193048500456
P16,T10,10,3,p16_layer11_standard,prototype,50,0.00392156862745098,1.0,0.1,1.0,0.25,7,8,1,8,12.5,2,25.0,-0.22055406868457794,0.363536536693573,0.5840905904769897,6220.92578125,113.87334103597095
P16,T10,10,3,p16_layer17_gate_small,prototype,100,0.00196078431372549,1.0,0.1,1.0,0.25,8,8,1,8,12.5,1,12.5,-0.20960545539855957,0.28995004296302795,0.4995554983615875,3596.815673828125,144.66503615304828
P16,T10,10,3,p16_layer17_gate_standard,prototype,50,0.00392156862745098,1.0,0.1,1.0,0.25,7,8,1,8,12.5,1,12.5,-0.20960545539855957,0.305332213640213,0.5149376392364502,3599.707275390625,116.06868820899399
P16,T10,10,3,p16_layer23_standard,prototype,50,0.00392156862745098,1.0,0.1,1.0,0.25,7,8,0,8,0.0,1,12.5,-0.053253717720508575,0.08489176630973816,0.13814547657966614,99113.8984375,119.10249641898554
P16,T10,10,3,p16_reserve_baseline,prototype,50,0.00392156862745098,1.0,0.1,1.0,1.0,8,8,0,8,0.0,1,12.5,-0.20960545539855957,0.5299990177154541,0.7396044731140137,56.590110778808594,116.03283202799503
P16,T10,10,3,p16_reserve_push025,prototype,50,0.00392156862745098,1.0,0.1,1.0,0.25,8,8,1,8,12.5,1,12.5,-0.20960545539855957,0.3385331630706787,0.5481386184692383,3577.817626953125,115.99475788895506
P16,T10,10,3,p16_reserve_push050,prototype,50,0.00392156862745098,1.0,0.1,1.0,0.5,8,8,0,8,0.0,1,12.5,-0.20960545539855957,0.40679752826690674,0.6164029836654663,506.3734130859375,116.11092194198864
P16,T10,10,3,p16_reserve_rho075_push050,prototype,50,0.00392156862745098,0.75,0.1,1.0,0.5,8,8,0,8,0.0,1,12.5,-0.20960545539855957,0.416806697845459,0.6264121532440186,381.3035583496094,115.97481968801003
P16,T10,10,3,p16_reserve_rho125_push050,prototype,50,0.00392156862745098,1.25,0.1,1.0,0.5,8,8,0,8,0.0,1,12.5,-0.20960545539855957,0.4269217848777771,0.6365272402763367,630.3739013671875,116.34208512702025
P19,T04,4,7,multi_ext_rho025,multiclass_prototype,50,0.00392156862745098,0.25,0.1,1.0,1.0,8,8,3,8,37.5,3,37.5,-0.016878560185432434,0.07246855646371841,0.08934711664915085,573.089111328125,626.1307274260325
P19,T04,4,7,multi_ext_rho050,multiclass_prototype,50,0.00392156862745098,0.5,0.1,1.0,1.0,8,8,3,8,37.5,3,37.5,-0.016878560185432434,0.07359478622674942,0.09047334641218185,1162.353759765625,619.360484224977
P19,T04,4,7,multi_ext_rho100,multiclass_prototype,50,0.00392156862745098,1.0,0.1,1.0,1.0,8,8,3,8,37.5,3,37.5,-0.016878560185432434,0.07341066002845764,0.09028922021389008,2286.987060546875,620.9315858400078
P19,T04,4,7,multi_ext_tau020_rho050,multiclass_prototype,50,0.00392156862745098,0.5,0.2,1.0,1.0,8,8,3,8,37.5,3,37.5,-0.016878560185432434,0.07310743629932404,0.08998599648475647,2346.1708984375,628.3097399290418
P19,T04,4,7,p19_ext_baseline,prototype,50,0.00392156862745098,0.5,0.1,1.0,1.0,8,8,5,8,62.5,6,75.0,-0.015734590590000153,0.10398637503385544,0.11972096562385559,1047.3214111328125,591.4862758659874
P19,T04,4,7,p19_ext_push050,prototype,50,0.00392156862745098,0.5,0.1,1.0,0.5,8,8,6,8,75.0,7,87.5,-0.015734590590000153,0.04435092210769653,0.060085512697696686,54321.4453125,585.7896656639641
P19,T04,4,7,p19_ext_push075,prototype,50,0.00392156862745098,0.5,0.1,1.0,0.75,8,8,4,8,50.0,5,62.5,-0.015734590590000153,0.07304256409406662,0.08877715468406677,5789.1748046875,584.8372618340072
