pair_id,transition_id,batch_index,image_index,generation_target_hit,clean_source_target_margin,adversarial_source_target_margin,clean_robust_margin,adversarial_robust_margin,clean_target_probability,adversarial_target_probability,clean_target_rank,adversarial_target_rank,clean_closedset_entropy,adversarial_closedset_entropy,source_target_gap_closure,robust_gap_closure
P16,T04,3,1,0,-23.75,-10.5,-23.75,-10.5,4.8473686869998645e-11,2.7534102628123946e-05,7.0,2.0,1.8969416260006255e-08,0.001044828095473349,0.5578947368421052,0.5578947368421052
P16,T04,3,2,1,-22.5,3.249999761581421,-22.5,-1.0,1.6918980105806725e-10,0.24535076320171356,8.0,2.0,1.0148550444455395e-07,0.9891801476478577,1.144444433848063,0.9555555555555556
P16,T04,3,3,0,-26.75,-25.125,-26.75,-25.125,2.413362912290218e-12,1.2256067688509731e-11,6.0,6.0,2.141919308584761e-09,1.0250203352768494e-08,0.06074766355140187,0.06074766355140187
P16,T04,3,4,0,-21.625,-9.875,-21.625,-9.875,4.05865202557365e-10,5.143274029251188e-05,8.0,3.0,2.5770825118343055e-07,0.002674294635653496,0.5433526011560693,0.5433526011560693
P16,T04,3,5,0,-26.625,-26.0,-26.625,-26.0,2.7346983184906026e-12,5.1090889331695255e-12,7.0,7.0,1.9506152248993658e-09,3.4204368226653514e-09,0.023474178403755867,0.023474178403755867
P16,T04,3,6,0,-25.75,-21.375,-25.75,-21.375,6.5602002996545394e-12,5.211412412720051e-10,5.0,5.0,3.3023599410597626e-09,1.409532757179477e-07,0.16990291262135923,0.16990291262135923
P16,T04,3,7,0,-25.125,-19.0,-25.125,-19.0,1.2256067688509731e-11,5.602795116743664e-09,5.0,9.0,7.304914451111699e-09,4.171747605141718e-06,0.24378109452736318,0.24378109452736318
P16,T04,4,0,0,-24.0,-23.125,-24.0,-23.125,3.775134371775124e-11,9.056076721858375e-11,8.0,6.0,1.9066556333768858e-08,3.6143738668670267e-08,0.036458333333333336,0.036458333333333336
P16,T04,4,1,0,-23.625,-15.375,-23.625,-15.375,5.4927885156930145e-11,2.1024240481892775e-07,7.0,8.0,3.642851353902188e-08,6.975854921620339e-05,0.3492063492063492,0.3492063492063492
P16,T04,4,2,0,-23.25,-1.0,-23.25,-2.875,7.99195987166712e-11,0.02466903254389763,7.0,7.0,4.907276363042001e-08,1.6835424900054932,0.956989247311828,0.8763440860215054
P16,T04,4,3,0,-24.125,-23.0,-24.125,-23.0,3.3315444153414475e-11,1.0261879540562902e-10,8.0,5.0,2.0216580409737617e-08,3.9524376660438065e-08,0.046632124352331605,0.046632124352331605
P16,T04,4,4,0,-26.75,-25.375,-26.75,-25.375,2.413362912290218e-12,9.545034901359273e-12,8.0,6.0,1.4548702242933587e-09,4.333680969637044e-09,0.0514018691588785,0.0514018691588785
P16,T04,4,5,1,-24.25,5.125,-24.25,5.125,2.940077695190446e-11,0.9891456365585327,6.0,1.0,1.454658704602707e-08,0.07641935348510742,1.211340206185567,1.211340206185567
P16,T04,4,6,0,-22.625,-7.5,-22.625,-7.5,1.493094675675266e-10,0.0005515103694051504,7.0,3.0,1.007641614592103e-07,0.024547260254621506,0.6685082872928176,0.6685082872928176
P16,T04,4,7,0,-26.375,-26.625,-26.375,-26.625,3.511422055901825e-12,2.7346983184906026e-12,7.0,6.0,2.1971082730942726e-09,2.0103227971191018e-09,-0.009478672985781991,-0.009478672985781991
P16,T04,5,0,0,-25.125,-20.5,-25.125,-20.5,1.2256067688509731e-11,1.2501528701136522e-09,6.0,5.0,7.1331749396108535e-09,2.980908107019786e-07,0.18407960199004975,0.18407960199004975
P16,T04,5,1,0,-26.0,-19.875,-26.0,-19.875,5.1090889331695255e-12,2.335593052293916e-09,5.0,7.0,2.7420532511257534e-09,9.537844789520022e-07,0.23557692307692307,0.23557692307692307
P16,T04,5,2,0,-26.5,-19.5,-26.5,-19.5,3.098819161342914e-12,3.3982678893096363e-09,8.0,3.0,1.8445733829253186e-09,3.3961538292714977e-07,0.2641509433962264,0.2641509433962264
P16,T04,5,3,0,-25.875,-24.125,-25.875,-24.125,5.7893564074651405e-12,3.3315444153414475e-11,6.0,5.0,3.1631683938826427e-09,1.184969544709702e-08,0.06763285024154589,0.06763285024154589
P16,T04,5,4,0,-24.25,-21.625,-24.25,-21.625,2.940077695190446e-11,4.05865202557365e-10,5.0,6.0,1.3387628783334549e-08,1.5527824359651277e-07,0.10824742268041238,0.10824742268041238
P16,T04,5,5,0,-19.125,-17.75,-19.125,-17.75,4.944449294441711e-09,1.9555672636784038e-08,8.0,5.0,3.8811235754110385e-06,8.16263764136238e-06,0.0718954248366013,0.0718954248366013
P16,T04,5,6,0,-26.5,-25.375,-26.5,-25.375,3.098819161342914e-12,9.545034901359273e-12,8.0,7.0,2.0081443175001823e-09,4.4228181117489385e-09,0.04245283018867924,0.04245283018867924
P16,T04,5,7,0,-24.125,-22.875,-24.125,-22.875,3.3315444153414475e-11,1.1628233098637253e-10,6.0,7.0,2.162969359176259e-08,8.862519251806589e-08,0.05181347150259067,0.05181347150259067
P16,T04,6,0,0,-23.5,-21.125,-23.5,-21.125,6.22414481066258e-11,6.691586174056852e-10,7.0,6.0,5.0816030494615916e-08,3.778312986923993e-07,0.10106382978723404,0.10106382978723404
P16,T04,6,1,0,-25.0,-19.625,-25.0,-19.625,1.3887943746404563e-11,2.998960857425459e-09,7.0,7.0,1.208788535933536e-08,9.687286137705087e-07,0.215,0.215
P16,T05,0,0,0,-20.875,-5.5,-20.875,-5.5,8.592166422793923e-10,0.004070131573826075,4.0,2.0,1.2433247320586815e-07,0.02648906223475933,0.7365269461077845,0.7365269461077845
P16,T05,0,1,0,-21.75,-7.75,-21.75,-7.75,3.581747953784742e-10,0.00043054306297563016,2.0,2.0,3.83097997769255e-08,0.004195702262222767,0.6436781609195402,0.6436781609195402
P16,T05,0,2,0,-18.125,-8.0,-18.125,-8.0,1.3440409674103648e-08,0.00033535013790242374,2.0,2.0,5.819048283228767e-07,0.0030201287008821964,0.5586206896551724,0.5586206896551724
P16,T05,0,3,1,-12.125,13.0,-12.125,13.0,5.422135018307017e-06,0.999988317489624,3.0,1.0,0.0002809977740980685,0.0001692362129688263,2.0721649484536084,2.0721649484536084
P16,T05,0,4,0,-11.625,-4.375,-11.625,-4.375,8.939328836277127e-06,0.012422643601894379,4.0,2.0,0.0006388635956682265,0.07400766760110855,0.6236559139784946,0.6236559139784946
P16,T05,0,5,0,-10.625,-1.5,-10.625,-7.5,2.4273740564240143e-05,0.0005412101745605469,8.0,8.0,0.01008415874093771,0.1359720528125763,0.8588235294117647,0.29411764705882354
P16,T05,0,6,0,-22.25,-11.875,-22.25,-11.875,2.1724400056655213e-10,6.96211236572708e-06,2.0,2.0,1.8826357361945156e-08,0.0003738599771168083,0.46629213483146065,0.46629213483146065
P16,T05,0,7,1,-0.25,6.5,-0.25,6.5,0.4378230571746826,0.998498797416687,2.0,1.0,0.6854114532470703,0.011262411251664162,27.0,27.0
P16,T05,1,0,0,-23.375,-15.125,-23.375,-15.125,7.052879807956103e-11,2.699575816222932e-07,4.0,2.0,8.98367691348767e-09,1.5567695299978368e-05,0.35294117647058826,0.35294117647058826
P16,T05,1,1,0,-20.75,-15.0,-20.75,-15.0,9.736200734522527e-10,3.0590220490012143e-07,4.0,2.0,1.3683055044566572e-07,6.105708962422796e-06,0.27710843373493976,0.27710843373493976
P16,T05,1,2,0,-18.875,-7.75,-18.875,-7.75,6.348800152267131e-09,0.00042878976091742516,3.0,4.0,6.797117180212808e-07,0.03386411815881729,0.5894039735099338,0.5894039735099338
P16,T05,1,3,1,-22.875,0.4999999701976776,-22.875,0.4999999701976776,1.1628233098637253e-10,0.6223007440567017,3.0,1.0,1.378681968589035e-08,0.6654064655303955,1.021857922194434,1.021857922194434
