scope,metric,outcome,cell_count,spearman,permutation_p
within_pair_stratified,target_clean_closedset_entropy,conditional_tasr_percent,30,0.53293052662619,0.0041399586004139954
P16,target_clean_closedset_entropy,semantic_gap_gain,10,-0.296969696969697,0.4053359466405336
P19,target_clean_closedset_entropy,semantic_gap_gain,10,-0.40606060606060607,0.24782752172478276
P14,target_clean_closedset_entropy,semantic_gap_gain,10,-0.09090909090909091,0.8137218627813722
within_pair_stratified,target_clean_closedset_entropy,semantic_gap_gain,30,-0.26464646464646463,0.17415825841741583
P16,target_adversarial_closedset_entropy,tasr_percent,10,0.6280604563186774,0.056469435305646944
P19,target_adversarial_closedset_entropy,tasr_percent,10,-0.5531940447488587,0.1020389796102039
P14,target_adversarial_closedset_entropy,tasr_percent,10,-0.5393939393939394,0.11341886581134189
within_pair_stratified,target_adversarial_closedset_entropy,tasr_percent,30,-0.15602908954454991,0.4265457345426546
P16,target_adversarial_closedset_entropy,asr_percent,10,0.828283210838796,0.004959950400495995
P19,target_adversarial_closedset_entropy,asr_percent,10,-0.41945482513924454,0.22798772012279878
P14,target_adversarial_closedset_entropy,asr_percent,10,-0.1580554413568168,0.6650833491665084
within_pair_stratified,target_adversarial_closedset_entropy,asr_percent,30,0.08130232444254722,0.6821931780682193
P16,target_adversarial_closedset_entropy,conditional_tasr_percent,10,0.6280604563186774,0.056469435305646944
P19,target_adversarial_closedset_entropy,conditional_tasr_percent,10,-0.5531940447488587,0.1020389796102039
P14,target_adversarial_closedset_entropy,conditional_tasr_percent,10,-0.45454545454545453,0.1914580854191458
within_pair_stratified,target_adversarial_closedset_entropy,conditional_tasr_percent,30,-0.12766016417281356,0.5182348176518234
P16,target_adversarial_closedset_entropy,semantic_gap_gain,10,0.01818181818181818,0.973410265897341
P19,target_adversarial_closedset_entropy,semantic_gap_gain,10,0.5151515151515151,0.13517864821351785
P14,target_adversarial_closedset_entropy,semantic_gap_gain,10,0.45454545454545453,0.1902880971190288
within_pair_stratified,target_adversarial_closedset_entropy,semantic_gap_gain,30,0.3292929292929293,0.0899491005089949
P16,target_closedset_entropy_change,tasr_percent,10,0.6280604563186774,0.056469435305646944
P19,target_closedset_entropy_change,tasr_percent,10,-0.5531940447488587,0.1020389796102039
P14,target_closedset_entropy_change,tasr_percent,10,-0.5393939393939394,0.11341886581134189
within_pair_stratified,target_closedset_entropy_change,tasr_percent,30,-0.15602908954454991,0.4265457345426546
P16,target_closedset_entropy_change,asr_percent,10,0.828283210838796,0.004959950400495995
P19,target_closedset_entropy_change,asr_percent,10,-0.41945482513924454,0.22798772012279878
P14,target_closedset_entropy_change,asr_percent,10,-0.1580554413568168,0.6650833491665084
within_pair_stratified,target_closedset_entropy_change,asr_percent,30,0.08130232444254722,0.6821931780682193
P16,target_closedset_entropy_change,conditional_tasr_percent,10,0.6280604563186774,0.056469435305646944
P19,target_closedset_entropy_change,conditional_tasr_percent,10,-0.5531940447488587,0.1020389796102039
P14,target_closedset_entropy_change,conditional_tasr_percent,10,-0.45454545454545453,0.1914580854191458
within_pair_stratified,target_closedset_entropy_change,conditional_tasr_percent,30,-0.12766016417281356,0.5182348176518234
P16,target_closedset_entropy_change,semantic_gap_gain,10,0.01818181818181818,0.973410265897341
P19,target_closedset_entropy_change,semantic_gap_gain,10,0.5151515151515151,0.13517864821351785
P14,target_closedset_entropy_change,semantic_gap_gain,10,0.45454545454545453,0.1902880971190288
within_pair_stratified,target_closedset_entropy_change,semantic_gap_gain,30,0.3292929292929293,0.0899491005089949
P16,target_mean_robust_gap_closure,tasr_percent,10,0.8963581269790831,0.0007599924000759993
P19,target_mean_robust_gap_closure,tasr_percent,10,0.9665698144513026,3.999960000399996e-05
P14,target_mean_robust_gap_closure,tasr_percent,10,0.9878787878787879,3.999960000399996e-05
within_pair_stratified,target_mean_robust_gap_closure,tasr_percent,30,0.9503589999531676,9.99990000099999e-06
P16,target_mean_robust_gap_closure,asr_percent,10,0.8160123484559989,0.006039939600603994
P19,target_mean_robust_gap_closure,asr_percent,10,0.9118583155200969,0.0006099939000609993
P14,target_mean_robust_gap_closure,asr_percent,10,0.8875420937728943,0.0012999870001299987
within_pair_stratified,target_mean_robust_gap_closure,asr_percent,30,0.8719674296463189,9.99990000099999e-06
P16,target_mean_robust_gap_closure,conditional_tasr_percent,10,0.8963581269790831,0.0007599924000759993
P19,target_mean_robust_gap_closure,conditional_tasr_percent,10,0.9665698144513026,3.999960000399996e-05
P14,target_mean_robust_gap_closure,conditional_tasr_percent,10,0.9636363636363636,0.00010999890001099989
within_pair_stratified,target_mean_robust_gap_closure,conditional_tasr_percent,30,0.9422535927041001,9.99990000099999e-06
P16,target_mean_robust_gap_closure,semantic_gap_gain,10,-0.23636363636363636,0.5118748812511875
P19,target_mean_robust_gap_closure,semantic_gap_gain,10,-0.8181818181818182,0.005889941100588994
P14,target_mean_robust_gap_closure,semantic_gap_gain,10,-0.41818181818181815,0.23198768012319876
within_pair_stratified,target_mean_robust_gap_closure,semantic_gap_gain,30,-0.4909090909090909,0.00965990340096599
P16,target_median_robust_gap_closure,tasr_percent,10,0.87806510397951,0.0016199838001619985
P19,target_median_robust_gap_closure,tasr_percent,10,0.9422535927041,0.00012999870001299986
P14,target_median_robust_gap_closure,tasr_percent,10,0.9515151515151515,0.00010999890001099989
within_pair_stratified,target_median_robust_gap_closure,tasr_percent,30,0.9240164263936982,9.99990000099999e-06
P16,target_median_robust_gap_closure,asr_percent,10,0.8896375227527809,0.0014199858001419986
P19,target_median_robust_gap_closure,asr_percent,10,0.8936211492096949,0.001059989400105999
P14,target_median_robust_gap_closure,asr_percent,10,0.7781190959104827,0.010889891101088988
within_pair_stratified,target_median_robust_gap_closure,asr_percent,30,0.8536744066467459,9.99990000099999e-06
P16,target_median_robust_gap_closure,conditional_tasr_percent,10,0.87806510397951,0.0016199838001619985
P19,target_median_robust_gap_closure,conditional_tasr_percent,10,0.9422535927041,0.00012999870001299986
P14,target_median_robust_gap_closure,conditional_tasr_percent,10,0.9030303030303031,0.000969990300096999
within_pair_stratified,target_median_robust_gap_closure,conditional_tasr_percent,30,0.9078056118955631,9.99990000099999e-06
P16,target_median_robust_gap_closure,semantic_gap_gain,10,0.07878787878787878,0.8388116118838812
P19,target_median_robust_gap_closure,semantic_gap_gain,10,-0.7696969696969697,0.012499875001249987
P14,target_median_robust_gap_closure,semantic_gap_gain,10,-0.3212121212121212,0.36676633233667666
within_pair_stratified,target_median_robust_gap_closure,semantic_gap_gain,30,-0.3373737373737374,0.08229917700822992
P16,target_mean_source_target_gap_closure,tasr_percent,10,0.9329441729782294,0.0002899971000289997
P19,target_mean_source_target_gap_closure,tasr_percent,10,0.9665698144513026,3.999960000399996e-05
P14,target_mean_source_target_gap_closure,tasr_percent,10,0.9636363636363636,6.999930000699993e-05
within_pair_stratified,target_mean_source_target_gap_closure,tasr_percent,30,0.9544117035777014,9.99990000099999e-06
P16,target_mean_source_target_gap_closure,asr_percent,10,0.8650957979871868,0.002179978200217998
P19,target_mean_source_target_gap_closure,asr_percent,10,0.9118583155200969,0.0006099939000609993
P14,target_mean_source_target_gap_closure,asr_percent,10,0.8145934285312865,0.006289937100628994
within_pair_stratified,target_mean_source_target_gap_closure,asr_percent,30,0.8638371972020642,9.99990000099999e-06
P16,target_mean_source_target_gap_closure,conditional_tasr_percent,10,0.9329441729782294,0.0002899971000289997
P19,target_mean_source_target_gap_closure,conditional_tasr_percent,10,0.9665698144513026,3.999960000399996e-05
