pair_id,transition_id,source_human_label,target_human_label,arm,semantic_mode,steps,step_size,rho,semantic_temperature,target_logit_weight,source_logit_weight,proxy_hits,proxy_denominator,tasr_hits,tasr_denominator,tasr_percent,asr_hits,asr_percent,semantic_gap_clean,semantic_gap_adversarial,semantic_gap_gain,effective_lambda,elapsed_seconds
P14,T04,4,7,pull_push_rho100_balanced,prototype,50,0.00392156862745098,1.0,0.1,1.0,1.0,8,8,3,8,37.5,3,37.5,-0.15928226709365845,0.36627545952796936,0.5255577564239502,23.132678985595703,196.5189949439955
P14,T04,4,7,pull_push_small_steps,prototype,100,0.00196078431372549,0.25,0.1,1.0,1.0,7,8,2,8,25.0,2,25.0,-0.15928226709365845,0.3179716467857361,0.47725391387939453,5.761680603027344,387.0682938579994
P14,T04,4,7,pull_push_standard,prototype,50,0.00392156862745098,0.25,0.1,1.0,1.0,6,8,2,8,25.0,4,50.0,-0.15928226709365845,0.17379899322986603,0.3330812454223633,5.7843217849731445,196.89810285900603
P14,T05,5,8,multiclass_small_steps,multiclass_prototype,100,0.00196078431372549,0.25,0.1,1.0,1.0,8,8,5,8,62.5,5,62.5,-0.06528621166944504,0.2602613568305969,0.32554757595062256,15.344947814941406,393.1977135069901
P14,T05,5,8,pull_push_rho050_balanced,prototype,50,0.00392156862745098,0.5,0.1,1.0,1.0,7,8,5,8,62.5,5,62.5,-0.06528619676828384,0.21338006854057312,0.27866625785827637,22.76420021057129,198.48762277301284
P14,T05,5,8,pull_push_small_steps,prototype,100,0.00196078431372549,0.25,0.1,1.0,1.0,8,8,5,8,62.5,6,75.0,-0.06528619676828384,0.24767522513866425,0.3129614293575287,11.349998474121094,384.861591702007
P14,T06,6,9,multiclass_small_steps,multiclass_prototype,100,0.00196078431372549,0.25,0.1,1.0,1.0,8,8,7,8,87.5,7,87.5,-0.10912007838487625,0.2981550097465515,0.40727508068084717,38.136478424072266,392.30137093699886
P14,T06,6,9,pull_push_rho050_balanced,prototype,50,0.00392156862745098,0.5,0.1,1.0,1.0,8,8,6,8,75.0,6,75.0,-0.10912005603313446,0.32459765672683716,0.4337177276611328,45.58622741699219,199.30821502499748
P14,T06,6,9,pull_push_small_steps,prototype,100,0.00196078431372549,0.25,0.1,1.0,1.0,8,8,6,8,75.0,6,75.0,-0.10912005603313446,0.34331315755844116,0.4524332284927368,22.820449829101562,390.4502581550041
P14,T07,7,10,multiclass_small_steps,multiclass_prototype,100,0.00196078431372549,0.25,0.1,1.0,1.0,8,8,3,8,37.5,6,75.0,-0.14742912352085114,0.27556100487709045,0.4229901432991028,23.49742317199707,389.8381285300129
