scope,metric,outcome,cell_count,spearman,permutation_p
P16,proxy_source_effective_rank,tasr_percent,10,0.10975813799743875,0.7630323696763033
P19,proxy_source_effective_rank,tasr_percent,10,0.4924034903808523,0.15173848261517384
P14,proxy_source_effective_rank,tasr_percent,10,0.4666666666666667,0.17966820331796682
within_pair_stratified,proxy_source_effective_rank,tasr_percent,30,0.35663791895897123,0.06304936950630494
P16,proxy_source_effective_rank,asr_percent,10,0.06748974310538337,0.8635513644863552
P19,proxy_source_effective_rank,asr_percent,10,0.6261427099904665,0.05844941550584494
P14,proxy_source_effective_rank,asr_percent,10,0.2674784392192284,0.4526454735452645
within_pair_stratified,proxy_source_effective_rank,asr_percent,30,0.3211441815480615,0.0967990320096799
P16,proxy_source_effective_rank,conditional_tasr_percent,10,0.10975813799743875,0.7630323696763033
P19,proxy_source_effective_rank,conditional_tasr_percent,10,0.4924034903808523,0.15173848261517384
P14,proxy_source_effective_rank,conditional_tasr_percent,10,0.40606060606060607,0.24833751662483375
within_pair_stratified,proxy_source_effective_rank,conditional_tasr_percent,30,0.3363744008363024,0.08064919350806492
P16,proxy_source_effective_rank,semantic_gap_gain,10,-0.5878787878787879,0.08083919160808392
P19,proxy_source_effective_rank,semantic_gap_gain,10,-0.5151515151515151,0.13356866431335687
P14,proxy_source_effective_rank,semantic_gap_gain,10,-0.3212121212121212,0.36886631133688663
within_pair_stratified,proxy_source_effective_rank,semantic_gap_gain,30,-0.47474747474747475,0.012029879701202988
P16,proxy_target_effective_rank,tasr_percent,10,-0.17683255566254022,0.6243537564624354
P19,proxy_target_effective_rank,tasr_percent,10,-0.03647433262080387,0.9274507254927451
P14,proxy_target_effective_rank,tasr_percent,10,-0.24848484848484848,0.4909850901490985
within_pair_stratified,proxy_target_effective_rank,tasr_percent,30,-0.15400273773228304,0.43144568554314455
P16,proxy_target_effective_rank,asr_percent,10,0.05521888072258639,0.8914810851891481
P19,proxy_target_effective_rank,asr_percent,10,-0.18237166310401937,0.6133338666613334
P14,proxy_target_effective_rank,asr_percent,10,0.042553388057604516,0.9109408905910941
within_pair_stratified,proxy_target_effective_rank,asr_percent,30,-0.02845581355489153,0.8899311006889931
P16,proxy_target_effective_rank,conditional_tasr_percent,10,-0.17683255566254022,0.6243537564624354
P19,proxy_target_effective_rank,conditional_tasr_percent,10,-0.03647433262080387,0.9274507254927451
P14,proxy_target_effective_rank,conditional_tasr_percent,10,-0.23636363636363636,0.5130648693513065
within_pair_stratified,proxy_target_effective_rank,conditional_tasr_percent,30,-0.14995003410774926,0.44352556474435256
P16,proxy_target_effective_rank,semantic_gap_gain,10,-0.11515151515151516,0.7586224137758623
P19,proxy_target_effective_rank,semantic_gap_gain,10,-0.22424242424242424,0.5375046249537505
P14,proxy_target_effective_rank,semantic_gap_gain,10,-0.3090909090909091,0.3905860941390586
within_pair_stratified,proxy_target_effective_rank,semantic_gap_gain,30,-0.21616161616161617,0.27360726392736073
P16,target_source_effective_rank,tasr_percent,10,-0.024390697332764166,0.950890491095089
P19,target_source_effective_rank,tasr_percent,10,0.291794660966431,0.4098059019409806
P14,target_source_effective_rank,tasr_percent,10,0.4666666666666667,0.1801681983180168
within_pair_stratified,target_source_effective_rank,tasr_percent,30,0.24518856928429272,0.20799792002079978
P16,target_source_effective_rank,asr_percent,10,-0.05521888072258639,0.8908710912890871
P19,target_source_effective_rank,asr_percent,10,0.41945482513924454,0.22696773032269676
P14,target_source_effective_rank,asr_percent,10,0.3100318272768329,0.3801861981380186
within_pair_stratified,target_source_effective_rank,asr_percent,30,0.22561395032806855,0.24820751792482076
P16,target_source_effective_rank,conditional_tasr_percent,10,-0.024390697332764166,0.950890491095089
P19,target_source_effective_rank,conditional_tasr_percent,10,0.291794660966431,0.4098059019409806
P14,target_source_effective_rank,conditional_tasr_percent,10,0.41818181818181815,0.23343766562334375
within_pair_stratified,target_source_effective_rank,conditional_tasr_percent,30,0.22897775478615767,0.24132758672413276
P16,target_source_effective_rank,semantic_gap_gain,10,-0.5151515151515151,0.13290867091329087
P19,target_source_effective_rank,semantic_gap_gain,10,-0.3333333333333333,0.34983650163498364
P14,target_source_effective_rank,semantic_gap_gain,10,-0.23636363636363636,0.5165048349516504
